Player,Span,Matches,Innings,NO,Runs,Highest Score,Average,100's,50's,0's
GC Smith (Afr/ICC/SA),2002-2014,347,432,25,17236,277,42.34,37,90,20
MJ Clarke (AUS),2003-2015,394,449,71,17112,329*,45.26,36,86,21
ME Waugh (AUS),1988-2002,372,445,37,16529,173,40.51,38,97,35
Javed Miandad (PAK),1975-1996,357,407,62,16213,280*,46.99,31,93,14
DL Haynes (WI),1978-1994,354,439,53,16135,184,41.8,35,96,23
Mushfiqur Rahim (BAN),2005-2025,476,533,74,15805,219*,34.43,22,83,33
AN Cook (ENG),2006-2018,257,387,20,15737,294,42.88,38,76,16
PA de Silva (SL),1984-2003,401,455,41,15645,267,37.78,31,86,24
M Azharuddin (IND),1984-2000,433,455,63,15593,199,39.77,29,79,14
AD Mathews (SL),2008-2025,435,480,97,15546,200*,40.59,19,91,24
Babar Azam (PAK),2015-2026,346,385,43,15463,196,45.21,32,106,23
AC Gilchrist (AUS/ICC),1996-2008,396,429,32,15461,204*,38.94,33,81,33
SP Fleming (ICC/NZ),1994-2008,396,463,31,15319,274*,35.46,17,95,33
IVA Richards (WI),1974-1991,308,349,36,15261,291,48.75,35,90,17
Tamim Iqbal (BAN/ICC/World),2007-2023,391,452,19,15249,206,35.21,25,94,36
ML Hayden (AUS/ICC),1993-2009,273,348,32,15066,380,47.67,40,69,23
Shakib Al Hasan (BAN),2006-2024,447,491,56,14730,217,33.86,14,100,27
BB McCullum (NZ),2002-2016,432,474,47,14676,302,34.37,19,76,37
HH Gibbs (SA),1996-2010,361,417,24,14661,228,37.3,35,66,37
G Kirsten (SA),1993-2004,286,361,34,14087,275,43.07,34,79,24
MS Atapattu (SL),1990-2007,360,416,47,14036,249,38.03,27,76,35
KP Pietersen (ENG/ICC),2004-2014,277,342,29,13797,227,44.07,32,67,18
Q de Kock (SA),2012-2026,325,361,23,13518,178,39.99,31,73,22
MJ Guptill (NZ),2009-2022,367,402,27,13463,237*,35.9,23,76,29
DC Boon (AUS),1984-1996,288,367,36,13386,200,40.44,26,69,22
IR Bell (ENG),2004-2015,287,370,39,13331,235,40.27,26,82,20
SM Gavaskar (IND),1971-1987,233,316,30,13214,236*,46.2,35,72,20
GA Gooch (ENG),1975-1995,243,337,12,13190,333,40.58,28,69,17
AJ Stewart (ENG),1989-2003,303,397,35,13140,190,36.29,19,73,27
Saleem Malik (PAK),1982-1999,386,410,60,12938,237,36.96,20,76,31
Saeed Anwar (PAK),1989-2003,302,335,21,12876,194,41,31,68,23
Mohammad Hafeez (PAK),2003-2021,392,429,36,12780,224,32.51,21,64,34
CG Greenidge (WI),1974-1991,236,312,29,12692,226,44.84,30,65,14
A Ranatunga (SL),1982-2000,362,410,59,12561,135*,35.78,8,87,30
JC Buttler (ENG),2011-2026,411,414,62,12459,162*,35.39,14,75,34
MEK Hussey (AUS),2004-2013,302,324,71,12398,195,49,22,72,16
BKG Mendis (SL),2015-2026,333,392,25,12269,245,33.43,16,77,37
RB Richardson (WI),1983-1996,310,363,42,12197,194,37.99,21,71,16
RR Sarwan (WI),2000-2013,286,339,44,11944,291,40.48,20,71,21
Shoaib Malik (ICC/PAK),1999-2021,446,429,79,11867,245,33.9,12,61,23
NJ Astle (NZ),1995-2007,308,358,25,11866,222,35.63,27,65,30
Yuvraj Singh (Asia/IND),2000-2017,402,391,55,11778,169,35.05,17,71,26
JM Bairstow (ENG),2011-2024,287,348,36,11581,167*,37.11,23,53,32
A Flower (ZIM),1992-2003,276,320,35,11580,232*,40.63,16,82,18
CL Hooper (WI),1987-2003,329,379,58,11523,233,35.89,20,56,20
DI Gower (ENG),1978-1992,231,315,26,11401,215,39.44,25,51,13
TWM Latham (NZ),2012-2026,283,340,29,11322,264*,36.4,24,61,28
AJ Strauss (ENG),2003-2012,231,308,14,11315,177,38.48,27,54,25
LD Chandimal (SL),2010-2025,316,365,43,11281,206*,35.03,20,64,19
BA Stokes (ENG),2011-2026,277,351,33,11264,258,35.42,19,62,25
F du Plessis (SA/World),2011-2021,262,304,41,11198,199,42.57,23,66,12
Shahid Afridi (Asia/ICC/PAK),1996-2018,524,508,40,11196,156,23.92,11,51,44
MN Samuels (WI),2000-2018,345,388,43,11134,260,32.27,17,64,25
Misbah-ul-Haq (PAK),2001-2017,276,315,64,11132,161*,44.35,10,84,17
VVS Laxman (IND),1996-2012,220,308,41,11119,281,41.64,23,66,17
Mahmudullah (BAN),2007-2025,430,433,86,11047,150*,31.83,9,56,26
MA Taylor (AUS),1989-1999,217,296,14,11039,334*,39.14,20,68,9
SR Watson (AUS),2002-2016,307,334,36,10950,185*,36.74,14,67,21
S Dhawan (IND),2010-2022,269,288,14,10867,190,39.66,24,55,11
EJG Morgan (ENG/IRE),2006-2022,379,361,56,10859,148,35.6,16,64,25
MV Boucher (Afr/ICC/SA),1997-2012,467,448,87,10469,147*,29,6,61,33
PR Stirling (IRE),2008-2026,343,342,15,10421,177,31.86,16,58,28
DB Vengsarkar (IND),1976-1992,245,305,41,10376,166,39.3,18,58,22
ME Trescothick (ENG),2000-2006,202,268,16,10326,219,40.97,26,52,25
G Gambhir (IND),2003-2016,242,283,18,10324,206,38.95,20,63,20
BRM Taylor (ZIM),2004-2026,302,333,26,10323,171,33.62,18,57,25
MD Crowe (NZ),1982-1995,220,271,29,10148,299,41.93,21,52,12
SD Hope (WI),2015-2026,261,296,34,10045,170,38.33,24,47,12
GW Flower (ZIM),1992-2010,288,337,24,10028,201*,32.03,12,55,34
PD Collingwood (ENG/World),2001-2017,301,329,49,9934,206,35.47,15,49,16
Ijaz Ahmed (PAK),1986-2001,310,324,33,9879,211,33.94,22,49,21
DR Martyn (AUS),1992-2006,279,295,65,9872,165,42.92,18,61,17
DM Jones (AUS),1984-1994,216,250,36,9699,216,45.32,18,60,17
KL Rahul (IND),2014-2026,233,272,33,9678,199,40.49,21,62,17
H Masakadza (ZIM),2001-2019,313,350,8,9543,178*,27.9,10,53,26
MA Atherton (ENG),1989-2001,169,266,10,9519,185*,37.18,18,58,24
CH Lloyd (WI),1966-1985,197,244,33,9492,242*,44.98,20,50,5
GS Chappell (AUS),1970-1984,161,223,33,9441,247*,49.68,27,45,19
WJ Cronje (SA),1992-2000,256,286,40,9279,135,37.71,8,62,19
JG Wright (NZ),1978-1993,231,296,8,9225,185,32.03,13,47,16
G Boycott (ENG),1964-1982,144,227,27,9196,246*,45.98,23,51,11
JP Duminy (SA),2004-2019,326,328,75,9154,166,36.18,10,46,22
GP Thorpe (ENG),1993-2005,182,256,41,9124,200*,42.43,16,60,15
WU Tharanga (Asia/SL),2005-2019,292,307,21,9112,174*,31.86,18,45,26
N Kapil Dev (IND),1978-1994,356,382,54,9031,175*,27.53,9,41,29
Sikandar Raza (ZIM),2013-2026,308,314,35,8999,141,32.25,9,52,15
Azhar Ali (PAK),2010-2022,150,233,14,8987,302*,41.03,22,47,22
SC Williams (ZIM),2005-2025,273,290,32,8968,174,34.75,14,56,16
TM Head (AUS),2016-2026,197,238,17,8934,175,40.42,19,43,12
AJ Finch (AUS),2011-2022,254,255,15,8804,172,36.68,19,51,25
Mohammad Rizwan (PAK),2015-2026,250,256,51,8792,171*,42.88,8,61,12
Ramiz Raja (PAK),1984-1997,255,291,20,8674,122,32,11,53,22
AJ Lamb (ENG),1982-1992,201,257,26,8666,142,37.51,18,44,17
FDM Karunaratne (SL),2011-2025,150,237,11,8538,244,37.77,17,50,17
JN Rhodes (SA),1992-2003,297,300,60,8467,121,35.27,5,50,16
Litton Das (BAN),2015-2026,270,305,16,8426,176,29.15,10,47,24
DJ Cullinan (SA),1993-2001,208,248,28,8414,275*,38.24,17,43,20
AM Rahane (IND),2011-2023,195,251,17,8414,188,35.95,15,51,18
HP Tillakaratne (SL),1986-2004,283,299,65,8334,204*,35.61,13,33,19
CL Cairns (ICC/NZ),1989-2006,279,299,30,8273,158,30.75,9,48,16
N Hussain (ENG),1989-2004,184,258,26,8096,207,34.89,15,49,20
ADR Campbell (ZIM),1992-2003,248,293,18,8043,131*,29.24,9,48,21
GS Sobers (WI),1954-1974,94,161,21,8032,365*,57.37,26,30,13
UT Khawaja (AUS),2011-2026,137,207,16,8024,232,42.01,18,41,12
CD McMillan (NZ),1997-2007,260,281,27,8010,142,31.53,9,48,16
SK Raina (IND),2005-2018,322,291,48,7988,120,32.87,7,48,25
AK Markram (SA),2017-2026,213,247,22,7866,175,34.96,12,41,15
JL Langer (AUS),1993-2007,113,189,14,7856,250,44.89,23,30,11
RS Mahanama (SL),1986-1999,265,287,24,7738,225,29.42,8,46,22
MP Vaughan (ENG),1999-2008,170,232,19,7728,197,36.28,18,34,19
MG Bevan (AUS),1994-2004,250,226,70,7697,108*,49.33,6,52,9
Zaheer Abbas (PAK),1969-1985,140,184,17,7634,274,45.71,19,33,12
MC Cowdrey (ENG),1954-1975,115,189,15,7625,182,43.82,22,38,9
NS Sidhu (IND),1983-1999,187,205,10,7615,201,39.05,15,48,16
Aamer Sohail (PAK),1990-2000,203,238,8,7603,205,33.05,10,44,16
Imran Khan (PAK),1971-1992,263,277,65,7516,136,35.45,7,37,14
RA Jadeja (IND),2009-2026,373,316,95,7515,175*,34,6,41,17
Abdul Razzaq (Asia/PAK),1996-2013,343,334,76,7419,134,28.75,6,30,20
DA Miller (SA/World),2010-2026,318,277,85,7415,139,38.61,9,33,12
MR Marsh (AUS),2011-2026,230,255,33,7401,181,33.33,8,42,19
SM Pollock (Afr/ICC/SA),1995-2008,423,370,113,7386,130,28.73,3,30,32
A Flintoff (ENG/ICC),1998-2009,227,259,26,7315,167,31.39,8,44,27
IT Botham (ENG),1976-1992,218,267,21,7313,208,29.72,14,31,20
WR Hammond (ENG),1927-1947,85,140,16,7249,336*,58.45,22,24,4
CA Pujara (IND),2010-2023,108,181,11,7246,206*,42.62,19,35,14
GA Hick (ENG),1991-2001,185,232,21,7229,178,34.26,11,45,21
GJ Maxwell (AUS),2012-2026,286,268,37,7226,201*,31.28,10,35,17
GR Marsh (AUS),1985-1992,167,208,13,7211,138,36.97,13,37,7
DM Bravo (WI),2009-2022,204,241,22,7052,218,32.2,12,35,17
DG Bradman (AUS),1928-1948,52,80,10,6996,334,99.94,29,13,7
DL Vettori (ICC/NZ),1997-2015,442,383,86,6989,140,23.53,6,27,46
CR Ervine (ZIM),2010-2025,230,255,22,6980,160,29.95,8,39,18
L Hutton (ENG),1937-1955,79,138,15,6971,364,56.67,19,33,5
DM de Silva (SL),2015-2026,206,247,23,6947,173,31.01,12,32,16
RJ Shastri (IND),1981-1992,230,249,35,6938,206,32.42,15,30,14
A Symonds (AUS),1998-2009,238,213,42,6887,162*,40.27,8,42,21
P Nissanka (SL),2021-2026,186,198,12,6873,210*,36.95,13,44,14
Kamran Akmal (PAK),2002-2017,268,283,26,6871,158*,26.73,11,27,31
KF Barrington (ENG),1955-1968,82,131,15,6806,256,58.67,20,35,5
IJL Trott (ENG),2007-2015,127,165,17,6792,226,45.89,13,42,13
BJ Haddin (AUS),2001-2015,226,256,35,6790,169,30.72,6,34,12
Mudassar Nazar (PAK),1976-1989,198,231,18,6767,231,31.76,10,33,13
MDKJ Perera (SL),2013-2026,233,245,12,6749,153*,28.96,9,40,23
DJ Mitchell (NZ),2019-2026,198,199,33,6744,190,40.62,14,35,3
MM Ali (ENG),2014-2024,298,305,40,6678,155*,25.2,8,28,30
Shubman Gill (IND),2019-2026,137,170,20,6665,269,44.43,19,28,8
Mohammad Ashraful (Asia/BAN),2001-2013,261,311,18,6655,190,22.71,9,30,32
RA Smith (ENG),1988-1996,133,182,23,6655,175,41.85,13,43,12
SB Styris (NZ),1999-2011,248,238,29,6647,170,31.8,9,35,14
Wasim Akram (PAK),1984-2003,460,427,74,6615,257*,18.73,3,13,45
M Labuschagne (AUS),2018-2026,130,173,13,6567,215,41.04,13,37,7
Fakhar Zaman (PAK),2017-2026,215,207,12,6547,210*,33.57,11,35,14
GR Viswanath (IND),1969-1983,116,178,11,6519,222,39.03,14,37,11
T Bavuma (SA),2014-2025,157,202,23,6515,172,36.39,9,35,18
MW Gatting (ENG),1977-1995,171,226,31,6504,207,33.35,11,30,20
DJ Bravo (WI),2004-2021,295,286,42,6423,113,26.32,5,27,22
RB Kanhai (WI),1957-1975,86,142,8,6391,256,47.69,15,30,7
KJ Hughes (AUS),1977-1985,167,212,12,6383,213,31.91,9,39,22
AP Gurusinha (SL),1985-1996,188,213,12,6354,143,31.61,9,30,15
TT Samaraweera (SL),1998-2013,134,174,31,6324,231,44.22,16,30,15
M Amarnath (IND),1969-1989,154,188,22,6302,138,37.96,13,37,14
MJ Slater (AUS),1993-2001,116,173,8,6299,219,38.17,14,30,12
Mohammad Nabi (AFG),2009-2026,331,300,48,6243,136,24.77,2,25,18
KC Brathwaite (WI),2011-2025,110,203,10,6228,212,32.26,12,32,19
A Balbirnie (IRE),2010-2025,239,240,13,6204,145*,27.33,9,34,18
JO Holder (WI),2013-2026,303,305,64,6198,202*,25.71,3,26,31
Asad Shafiq (PAK),2010-2020,147,196,10,6188,137,33.26,12,36,18
AC Parore (NZ),1990-2002,257,289,51,6179,110,25.96,3,28,25
Sarfaraz Ahmed (PAK),2007-2023,232,228,48,6164,118,34.24,6,35,7
KC Wessels (AUS/SA),1982-1994,149,176,10,6155,179,37.07,7,41,5
K Srikkanth (IND),1981-1992,189,217,7,6153,123,29.3,6,39,18
RN Harvey (AUS),1948-1963,79,137,10,6149,205,48.41,21,24,7
IA Healy (AUS),1988-1999,287,302,59,6120,161*,25.18,4,26,27
DP Conway (NZ),2020-2026,144,165,16,6064,227,40.69,12,32,10
RD Berrington (SCOT),2008-2026,240,222,35,6051,127,32.35,7,31,17
IM Chappell (AUS),1964-1980,91,152,12,6018,196,42.98,14,34,11
Moin Khan (PAK),1990-2004,288,287,49,6007,137,25.23,4,27,22
JJ Roy (ENG),2014-2023,185,184,4,5980,180,33.22,12,30,19
A Jadeja (IND),1992-2000,211,203,38,5935,119,35.96,6,34,11
Umar Akmal (PAK),2009-2019,221,219,33,5887,129,31.65,3,34,19
KD Walters (AUS),1965-1981,102,149,20,5870,250,45.5,15,35,5
KJ O'Brien (IRE),2006-2021,266,250,29,5850,142,26.47,4,24,18
HC Brook (ENG),2022-2026,136,153,18,5835,317,43.22,14,27,7
DCS Compton (ENG),1937-1957,78,131,15,5807,278,50.06,17,28,10
E Chigumbura (Afr/ZIM),2004-2020,284,281,35,5802,117,23.58,2,26,29
RP Arnold (SL),1997-2007,225,225,47,5778,123,32.46,4,38,14
D Ramdin (WI),2005-2019,284,286,52,5734,169,24.5,6,24,16
AH Jones (NZ),1987-1995,126,161,17,5706,186,39.62,7,36,6
RS Kaluwitharana (SL),1990-2004,238,259,18,5644,132*,23.41,5,32,29
KR Rutherford (NZ),1985-1995,177,214,17,5608,108,28.46,5,36,22
GM Wood (AUS),1978-1989,142,189,17,5593,172,32.51,12,24,13
SM Katich (AUS),2001-2010,104,143,11,5581,157,42.28,11,34,7
HDRL Thirimanne (SL),2010-2022,197,211,22,5573,155*,29.48,7,31,19
RR Pant (IND),2017-2025,156,179,20,5556,159*,34.94,9,26,10
WW Hinds (WI),1999-2010,169,196,12,5518,213,29.98,10,28,15
HM Nicholls (NZ),2015-2026,152,181,26,5513,200*,35.56,11,28,13
MJ Prior (ENG),2004-2014,157,193,32,5508,131*,34.21,7,31,19
L Klusener (SA),1996-2004,220,206,61,5482,174,37.8,6,27,17
WTS Porterfield (IRE),2006-2022,212,210,9,5480,139,27.26,11,23,18
Mominul Haque (BAN),2012-2025,109,169,12,5476,181,34.87,13,28,19
D Elgar (SA),2012-2024,94,159,12,5451,199,37.08,14,23,13
JB Hobbs (ENG),1908-1930,61,102,7,5410,211,56.94,15,28,4
JH Edrich (ENG),1963-1976,84,133,9,5361,310*,43.23,12,26,6
SE Marsh (AUS),2008-2019,126,155,7,5293,182,35.76,13,25,15
AL Logie (WI),1981-1993,210,211,45,5279,130,31.8,3,30,21
PJL Dujon (WI),1981-1991,250,235,47,5267,139,28.01,5,22,16
WM Lawry (AUS),1961-1971,68,124,12,5261,210,46.97,13,27,6
AI Kallicharran (WI),1972-1981,97,137,14,5225,187,42.47,12,27,10
JC Adams (WI),1992-2001,181,195,45,5216,208*,34.77,6,28,14
Salman Butt (PAK),2003-2010,135,163,6,5209,136,33.17,11,27,22
T Taibu (Afr/ZIM),2001-2012,195,206,30,5198,153,29.53,3,34,23
Habibul Bashar (BAN),1995-2008,161,204,6,5194,113,26.23,3,38,25
SL Campbell (WI),1994-2002,142,180,4,5165,208,29.34,6,32,16
CZ Harris (NZ),1990-2004,273,255,66,5156,130,27.28,1,21,21
WPUJC Vaas (Asia/SL),1994-2009,439,384,108,5147,100*,18.64,1,14,37
HH Dippenaar (Afr/SA),1999-2007,146,158,19,5140,177*,36.97,7,33,12
AD Hales (ENG),2011-2022,156,163,11,5066,171,33.32,7,31,10
HG Munsey (SCOT),2015-2026,156,152,15,5066,191,36.97,5,32,10
Ahmed Shehzad (PAK),2009-2019,153,165,4,5058,176,31.41,10,25,10
Najmul Hossain Shanto (BAN),2017-2026,150,181,10,5044,163,29.49,11,19,15
Muhammad Waseem (UAE),2021-2026,162,162,6,5036,119,32.28,4,35,13
Rahmat Shah (AFG),2013-2025,137,142,6,5007,234,36.81,8,37,9
HE van der Dussen (SA),2018-2025,146,150,25,4968,134,39.74,6,33,8
ND McKenzie (SA),2000-2009,124,150,18,4948,226,37.48,7,26,11
BM Duckett (ENG),2016-2026,98,135,6,4946,182,38.34,9,28,11
HH Streak (Afr/ZIM),1993-2005,254,266,73,4933,127*,25.55,1,24,21
GJ Whittall (ZIM),1993-2003,193,224,29,4912,203*,25.18,4,21,18
RB Simpson (AUS),1957-1978,64,113,7,4905,311,46.27,10,27,8
SS Iyer (IND),2017-2026,141,141,19,4892,128*,40.09,6,36,7
TW Graveney (ENG),1951-1969,79,123,13,4882,258,44.38,11,20,8
DS Lehmann (AUS),1996-2005,144,143,24,4876,177,40.97,9,27,6
Sir RJ Hadlee (NZ),1973-1990,201,232,36,4875,151*,24.87,2,19,16
Imam-ul-Haq (PAK),2017-2025,103,126,11,4860,157,42.26,12,30,8
RW Marsh (AUS),1970-1984,188,226,28,4858,132,24.53,3,20,19
AT Carey (AUS),2018-2026,175,179,26,4845,156,31.66,4,26,11
Mohammad Shahzad (AFG),2009-2023,159,161,6,4844,131*,31.25,7,26,8
N Dickwella (SL),2014-2023,137,175,9,4841,116,29.16,2,32,7
IR Redpath (AUS),1964-1976,71,125,11,4783,171,41.95,8,31,10
HH Pandya (IND),2016-2026,243,195,39,4724,108,30.28,1,24,10
Majid Khan (PAK),1964-1983,86,128,6,4717,167,38.66,9,26,10
JDP Oram (NZ),2001-2012,229,205,32,4688,133,27.09,6,21,15
AG Prince (Afr/SA),2002-2011,119,146,28,4688,162*,39.72,11,14,11
KJ Coetzer (SCOT),2008-2023,159,155,7,4687,156,31.66,5,27,12
MS Wade (AUS),2011-2024,225,214,43,4682,117,27.38,5,19,9
PV Simmons (WI),1987-1999,169,185,13,4677,122,27.19,6,22,18
RC Fredericks (WI),1968-1977,71,121,7,4645,169,40.74,9,27,7
Soumya Sarkar (BAN),2014-2025,182,190,8,4631,169,25.44,4,23,24
APE Knott (ENG),1967-1981,115,163,19,4589,135,31.86,5,31,10
GM Turner (NZ),1969-1983,82,113,12,4589,259,45.43,10,23,2
HA Gomes (WI),1976-1987,143,155,26,4586,143,35.55,10,19,10
Mohsin Khan (PAK),1977-1986,123,154,11,4586,200,32.06,9,17,6
AC Hudson (SA),1991-1998,124,151,4,4566,163,31.06,6,31,13
H Sutcliffe (ENG),1924-1935,54,84,9,4555,194,60.73,16,23,2
JV Coney (NZ),1974-1987,140,165,33,4542,174*,34.4,3,24,4
PBH May (ENG),1951-1961,66,106,9,4537,285*,46.77,13,22,8
MP O'Dowd (NED),2015-2026,156,152,11,4507,158*,31.96,2,31,5
ER Dexter (ENG),1958-1968,62,102,8,4502,205,47.89,9,27,6
M Vijay (IND),2008-2018,87,130,1,4490,167,34.8,12,16,9
DL Amiss (ENG),1966-1977,68,106,10,4471,262*,46.57,15,12,10
RL Chase (WI),2016-2026,183,202,21,4457,137*,24.62,5,21,26
ED Weekes (WI),1948-1958,48,81,5,4455,207,58.61,15,19,6
RD Jacobs (WI),1996-2004,212,224,53,4442,118,25.97,3,23,23
DJ Malan (ENG),2017-2023,114,129,12,4416,140,37.74,8,32,9
BJ Watling (NZ),2009-2021,108,146,18,4401,205,34.38,8,24,13
R Ashwin (IND),2010-2024,287,233,47,4394,124,23.62,6,15,15
Mehidy Hasan Miraz (BAN),2016-2026,207,215,26,4383,112*,23.19,4,16,13
NV Knight (ENG),1995-2003,117,130,10,4356,125*,36.3,6,29,7
SV Carlisle (ZIM),1995-2005,148,173,14,4355,121*,27.38,5,17,18
Imrul Kayes (BAN),2008-2019,131,167,4,4350,150,26.68,7,20,10
Ibrahim Zadran (AFG),2019-2026,112,120,12,4336,177,40.14,7,29,5
GD Phillips (NZ),2017-2026,161,153,27,4323,108,34.3,4,22,6
HT Tector (IRE),2019-2026,161,157,22,4311,140,31.93,5,27,13
SCJ Broad (ENG),2006-2023,344,338,76,4309,169,16.44,1,13,49
MA Butcher (ENG),1997-2004,71,131,7,4288,173*,34.58,8,23,10
KIC Asalanka (SL),2021-2026,162,155,19,4278,127,31.45,5,23,12
KA Pollard (WI),2007-2022,224,196,30,4275,119,25.75,3,19,18
Rahmanullah Gurbaz (AFG),2019-2026,141,143,1,4265,151,30.03,9,20,13
CS MacLeod (SCOT),2008-2022,152,147,16,4264,175,32.54,10,20,17
N Pooran (WI),2016-2024,167,155,18,4258,118,31.08,3,24,6
Asghar Afghan (AFG),2009-2021,195,186,15,4246,164,24.83,2,19,13
MJ Greatbatch (NZ),1988-1996,125,154,10,4227,146*,29.35,5,23,16
Imran Farhat (PAK),2001-2013,105,142,4,4195,128,30.39,4,27,7
SK Warne (AUS/ICC),1992-2007,339,306,46,4172,99,16.04,0,13,44
MG Erasmus (NAM),2019-2026,146,141,21,4122,125,34.35,3,31,7
V Sibanda (Afr/ZIM),2003-2016,167,180,5,4096,116,23.4,2,24,20
E Lewis (WI),2016-2026,137,133,9,4078,176*,32.88,7,25,9
SA Yadav (IND),2021-2026,151,143,22,4053,117,33.49,4,29,10
SV Manjrekar (IND),1987-1996,111,131,16,4037,218,35.1,5,24,6
KWR Fletcher (ENG),1968-1982,83,118,17,4029,216,39.89,8,24,6
RS Bopara (ENG),2007-2015,171,163,32,3981,143,30.38,4,17,9
SO Hetmyer (WI),2017-2026,155,154,10,3974,139,27.59,5,18,7
Shoaib Mohammad (PAK),1983-1995,108,126,13,3974,203*,35.16,8,21,14
Salman Agha (PAK),2022-2026,125,134,22,3941,134,35.18,6,25,6
L Vincent (NZ),2001-2007,134,148,11,3919,224,28.6,6,20,13
Hanif Mohammad (PAK),1952-1969,55,97,8,3915,337,43.98,12,15,5
GP Howarth (NZ),1975-1985,117,148,10,3915,147,28.36,6,17,8
Asif Iqbal (PAK),1964-1980,68,107,9,3905,175,39.84,11,17,9
Najibullah Zadran (AFG),2012-2024,199,179,46,3890,104*,29.24,1,23,10
AW Greig (ENG),1972-1977,80,112,7,3868,148,36.83,8,20,6
FMM Worrell (WI),1948-1963,51,87,9,3860,261,49.48,9,22,11
Mushtaq Mohammad (PAK),1959-1979,67,109,10,3852,201,38.9,10,20,4
BA King (WI),2019-2026,148,152,7,3835,112,26.44,3,25,14
JA Rudolph (Afr/SA),2003-2012,94,123,16,3802,222*,35.53,6,18,8
CL Walcott (WI),1948-1960,44,74,7,3798,220,56.68,15,14,1
Z Crawley (ENG),2019-2026,73,126,3,3791,267,30.82,5,23,15
BE Congdon (NZ),1965-1978,72,123,10,3786,176,33.5,8,21,9
CO Obuya (KENYA),2001-2024,179,159,21,3786,98*,27.43,0,20,12
DJG Sammy (WI/World),2004-2017,232,220,50,3781,106,22.24,1,14,15
MJ Santner (NZ),2015-2026,294,228,73,3773,126,24.34,1,9,12
SO Tikolo (Afr/KENYA),1996-2014,150,145,15,3773,111,29.02,3,26,16
BA Edgar (NZ),1978-1986,103,132,9,3772,161,30.66,4,22,10
LMP Simmons (WI),2006-2021,144,148,13,3763,122,27.87,2,25,16
NLTC Perera (ICC/SL/World),2009-2021,256,217,38,3745,140,20.92,1,14,19
OJ Pope (ENG),2018-2025,64,113,5,3732,205,34.55,9,16,6
RK Paudel (NEP),2018-2026,156,148,18,3720,126,28.61,2,19,6
R Ravindra (NZ),2021-2026,111,118,15,3709,240,36,9,15,6
CR Woakes (ENG),2011-2025,217,204,50,3705,137*,24.05,1,13,21
BA Young (NZ),1990-1999,109,141,9,3702,267*,28.04,2,21,10
GJ Bailey (AUS/World),2012-2017,125,119,18,3700,156,36.63,3,25,5
PR Umrigar (IND),1948-1962,59,94,8,3631,223,42.22,12,14,5
MH Cross (SCOT),2013-2026,198,170,14,3624,114,23.23,2,16,8
Wasim Raja (PAK),1973-1985,111,137,24,3603,125,31.88,4,20,14
GN Yallop (AUS),1976-1984,69,97,9,3579,268,40.67,8,16,4
Harbhajan Singh (Asia/IND),1998-2016,367,286,63,3569,115,16,2,9,37
VG Kambli (IND),1991-2000,121,118,22,3561,227,37.09,6,17,7
DW Randall (ENG),1976-1985,96,124,10,3537,174,31.02,7,17,18
