Player,Span,Matches,Innings,NO,Runs,Highest_Score,Average,100s,50s,0s,Country
K Tathgur,2024-2025,15,11.0,2.0,145.0,53.0,16.11,0.0,1.0,1.0,CAN
L Denny,2022-2025,17,12.0,1.0,144.0,45.0,13.09,0.0,0.0,0.0,COK
KR Patterson,2019-2019,2,2.0,1.0,144.0,114.0,144.0,1.0,0.0,0.0,AUS
C Pengkumta,2019-2025,34,25.0,4.0,144.0,31.0,6.85,0.0,0.0,6.0,THA
W Place,1948-1948,3,6.0,1.0,144.0,107.0,28.8,1.0,0.0,0.0,ENG
A Prashar,2023-2025,13,11.0,2.0,144.0,35.0,16.0,0.0,0.0,1.0,HUN
Rahat Ali,2012-2018,35,38.0,17.0,144.0,35.0,6.85,0.0,0.0,10.0,PAK
SD Udal,1994-2006,15,14.0,5.0,144.0,33.0,16.0,0.0,0.0,2.0,ENG
Wahidullah Usmani,2020-2021,7,7.0,0.0,144.0,72.0,20.57,0.0,1.0,0.0,BEL
EL a'Beckett,1928-1932,4,7.0,0.0,143.0,41.0,20.42,0.0,0.0,0.0,AUS
ROC Dunka,2023-2026,25,16.0,2.0,143.0,35.0,10.21,0.0,0.0,1.0,CAY
M Klinger,2017-2017,3,3.0,0.0,143.0,62.0,47.66,0.0,1.0,0.0,AUS
RE Marshall,1951-1952,4,7.0,0.0,143.0,30.0,20.42,0.0,0.0,1.0,WI
Mohameed Taiwo,2019-2025,48,29.0,12.0,143.0,26.0,8.41,0.0,0.0,6.0,NGA
KV Morea,2021-2025,41,28.0,14.0,143.0,17.0,10.21,0.0,0.0,3.0,PNG
Saad Nasim,2014-2015,6,5.0,1.0,143.0,77.0,35.75,0.0,1.0,1.0,PAK
Amir Mangal,2019-2020,10,10.0,3.0,142.0,40.0,20.28,0.0,0.0,0.0,GER
RL Bhudia,2007-2009,8,8.0,1.0,142.0,47.0,20.28,0.0,0.0,1.0,KENYA
S Grover,2021-2025,17,16.0,4.0,142.0,47.0,11.83,0.0,0.0,3.0,CZK-R
D Langford-Smith,2006-2008,22,17.0,8.0,142.0,31.0,15.77,0.0,0.0,2.0,IRE
MB Loye,2007-2007,7,7.0,0.0,142.0,45.0,20.28,0.0,0.0,1.0,ENG
MG Neser,2018-2026,9,11.0,0.0,142.0,35.0,12.9,0.0,0.0,2.0,AUS
AA Rahayu,2023-2025,34,16.0,6.0,142.0,23.0,14.2,0.0,0.0,1.0,INA
BA Reid,1985-1992,88,55.0,22.0,142.0,13.0,4.3,0.0,0.0,7.0,AUS
Sharafuddin Ashraf,2014-2025,44,27.0,11.0,142.0,21.0,8.87,0.0,0.0,5.0,AFG
Shivam Sharma,2025-2026,17,8.0,1.0,142.0,37.0,20.28,0.0,0.0,0.0,CAN
MP Bicknell,1990-2003,11,13.0,2.0,141.0,31.0,12.81,0.0,0.0,3.0,ENG
JA Clarkson,2023-2026,14,10.0,2.0,141.0,38.0,17.62,0.0,0.0,1.0,NZ
Faran Afzal,2019-2019,9,8.0,1.0,141.0,59.0,20.14,0.0,1.0,0.0,ESP
M Fontaine,2021-2025,15,13.0,5.0,141.0,49.0,17.62,0.0,0.0,1.0,HUN
J Jarvis,2023-2026,25,18.0,4.0,141.0,26.0,10.07,0.0,0.0,4.0,SCOT
DRE Joseph,1999-1999,4,7.0,0.0,141.0,50.0,20.14,0.0,1.0,0.0,WI
GB Lawrence,1961-1962,5,8.0,0.0,141.0,43.0,17.62,0.0,0.0,2.0,SA
G Sesay,2021-2024,38,24.0,6.0,141.0,23.0,7.83,0.0,0.0,7.0,SLE
AL Valentine,1950-1962,36,51.0,21.0,141.0,14.0,4.7,0.0,0.0,12.0,WI
Wei Guo Lei,2023-2024,11,11.0,0.0,141.0,70.0,12.81,0.0,1.0,4.0,CHN
VJ Wells,1999-1999,9,7.0,0.0,141.0,39.0,20.14,0.0,0.0,0.0,ENG
AF Buurman,2007-2011,21,13.0,2.0,140.0,34.0,12.72,0.0,0.0,4.0,NED
R Chandrika,2015-2016,5,10.0,0.0,140.0,37.0,14.0,0.0,0.0,3.0,WI
TS Curtis,1988-1989,5,9.0,0.0,140.0,41.0,15.55,0.0,0.0,1.0,ENG
Jassim Khan,2023-2025,12,10.0,3.0,140.0,31.0,20.0,0.0,0.0,1.0,QAT
AR Kapoor,1994-2000,21,12.0,1.0,140.0,42.0,12.72,0.0,0.0,3.0,IND
KDA Lukies,2023-2025,32,17.0,7.0,140.0,43.0,14.0,0.0,0.0,0.0,PHI
G Murali,2019-2024,8,8.0,1.0,140.0,47.0,20.0,0.0,0.0,0.0,CRC
Shafiq Ahmed,1974-1981,9,13.0,1.0,140.0,29.0,11.66,0.0,0.0,3.0,PAK
MB Tambe,2021-2025,28,23.0,10.0,140.0,31.0,10.76,0.0,0.0,3.0,FIN
AJ Tye,2016-2021,39,22.0,10.0,140.0,20.0,11.66,0.0,0.0,3.0,AUS
MV Fleming,1997-1998,11,10.0,1.0,139.0,33.0,15.44,0.0,0.0,1.0,ENG
M Gill,2025-2025,6,6.0,1.0,139.0,59.0,27.8,0.0,2.0,1.0,CAN
AJ Jabiri,2022-2024,18,16.0,0.0,139.0,27.0,8.68,0.0,0.0,2.0,TAN
M Jele,2021-2026,39,32.0,8.0,139.0,16.0,5.79,0.0,0.0,8.0,SWZ
KH MacLeay,1983-1987,16,13.0,2.0,139.0,41.0,12.63,0.0,0.0,0.0,AUS
A Oxley,2024-2024,8,6.0,0.0,139.0,31.0,23.16,0.0,0.0,0.0,Blz
DW Begbie,1948-1950,5,7.0,0.0,138.0,48.0,19.71,0.0,0.0,0.0,SA
Dipanjan Dey,2021-2021,6,6.0,2.0,138.0,75.0,34.5,0.0,1.0,0.0,SWE
DR Doshi,1979-1983,48,43.0,12.0,138.0,20.0,4.45,0.0,0.0,16.0,IND
RJ Hatchman,2019-2025,20,14.0,1.0,138.0,32.0,10.61,0.0,0.0,2.0,GIBR
D Jansen,2021-2025,14,10.0,0.0,138.0,33.0,13.8,0.0,0.0,1.0,IOM
P Manning,2019-2023,13,13.0,2.0,138.0,31.0,12.54,0.0,0.0,2.0,CAY
DB Pithey,1963-1967,8,12.0,1.0,138.0,55.0,12.54,0.0,1.0,1.0,SA
JH Stander,2009-2012,16,16.0,3.0,138.0,45.0,10.61,0.0,0.0,4.0,SCOT
F Stoman,2019-2025,26,16.0,3.0,138.0,28.0,10.61,0.0,0.0,2.0,POR
ARI Umeed,2024-2024,5,4.0,1.0,138.0,98.0,46.0,0.0,1.0,0.0,SCOT
Anique Uddin,2019-2023,13,12.0,0.0,137.0,31.0,11.41,0.0,0.0,1.0,DEN
FT Badcock,1930-1933,7,9.0,2.0,137.0,64.0,19.57,0.0,2.0,3.0,NZ
Basir Ahamad,2022-2025,11,7.0,2.0,137.0,80.0,27.4,0.0,1.0,1.0,NEP
A Davidson Soler,2024-2025,14,8.0,3.0,137.0,51.0,27.4,0.0,1.0,1.0,ESP
VB John,1982-1987,51,29.0,15.0,137.0,27.0,9.78,0.0,0.0,7.0,SL
HH Patel,2019-2019,7,6.0,1.0,137.0,44.0,27.4,0.0,0.0,0.0,MWI
I Tchakou,2021-2024,22,20.0,0.0,137.0,26.0,6.85,0.0,0.0,3.0,CAM
APB Tennekoon,1975-1979,4,4.0,0.0,137.0,59.0,34.25,0.0,1.0,1.0,SL
J Trembeath-Moro,2022-2022,8,7.0,2.0,137.0,39.0,27.4,0.0,0.0,0.0,ESP
Zameer Khan,2019-2021,8,8.0,1.0,137.0,33.0,19.57,0.0,0.0,0.0,DEN
A Beresford-Peirse,2025-2025,12,10.0,1.0,136.0,39.0,15.11,0.0,0.0,1.0,CRT
LS Birkett,1930-1931,4,8.0,0.0,136.0,64.0,17.0,0.0,1.0,1.0,WI
JW D'Arcy,1958-1958,5,10.0,0.0,136.0,33.0,13.6,0.0,0.0,0.0,NZ
YP Dayal,2024-2026,14,13.0,3.0,136.0,37.0,13.6,0.0,0.0,1.0,SUR
J Dzulfikar,2024-2025,18,16.0,3.0,136.0,25.0,10.46,0.0,0.0,1.0,INA
TV Hohns,1989-1989,7,7.0,1.0,136.0,40.0,22.66,0.0,0.0,1.0,AUS
Ismaila Tamba,2022-2024,12,12.0,2.0,136.0,43.0,13.6,0.0,0.0,0.0,GMB
CS Martin,2000-2013,97,112.0,55.0,136.0,12.0,2.38,0.0,0.0,38.0,NZ
D Ranatunga,1989-1990,6,7.0,0.0,136.0,45.0,19.42,0.0,0.0,1.0,SL
SK Sharma,1988-1990,25,15.0,5.0,136.0,38.0,13.6,0.0,0.0,3.0,IND
SM Sharma,2021-2025,16,11.0,5.0,136.0,44.0,22.66,0.0,0.0,0.0,UAE
Surendranath,1958-1961,11,20.0,7.0,136.0,27.0,10.46,0.0,0.0,4.0,IND
Tafseer Ali,2019-2026,14,13.0,2.0,136.0,28.0,12.36,0.0,0.0,0.0,NOR
SB Wagh,2024-2025,8,8.0,0.0,136.0,51.0,17.0,0.0,1.0,0.0,MEX
SRD Wettimuny,1975-1979,3,3.0,1.0,136.0,67.0,68.0,0.0,2.0,0.0,SL
Abbas Afridi,2024-2025,24,15.0,4.0,135.0,22.0,12.27,0.0,0.0,1.0,PAK
DB Carr,1951-1952,2,4.0,0.0,135.0,76.0,33.75,0.0,1.0,0.0,ENG
Shakeel Ahmed jnr,1993-1995,5,7.0,0.0,135.0,36.0,19.28,0.0,0.0,1.0,PAK
L Sivaramakrishnan,1983-1987,25,13.0,3.0,135.0,25.0,13.5,0.0,0.0,1.0,IND
JJ van der Wath,2006-2007,18,12.0,3.0,135.0,37.0,15.0,0.0,0.0,3.0,SA
SM Boland,2016-2026,36,28.0,10.0,134.0,21.0,7.44,0.0,0.0,7.0,AUS
PA Browne,2008-2008,5,5.0,1.0,134.0,49.0,33.5,0.0,0.0,0.0,WI
GF Gomes,2019-2022,15,10.0,1.0,134.0,52.0,14.88,0.0,1.0,2.0,MOZ
M Hendrick,1973-1981,52,45.0,20.0,134.0,15.0,5.36,0.0,0.0,11.0,ENG
M Khojbariya,2024-2026,14,14.0,2.0,134.0,46.0,11.16,0.0,0.0,5.0,SWZ
Krishna Chandran,2014-2016,12,10.0,2.0,134.0,43.0,16.75,0.0,0.0,3.0,UAE
Manjural Islam,1999-2004,51,55.0,24.0,134.0,21.0,4.32,0.0,0.0,14.0,BAN
AJ Michael,2019-2022,10,10.0,2.0,134.0,23.0,16.75,0.0,0.0,0.0,Samoa
MM Patel,2006-2011,86,42.0,22.0,134.0,15.0,6.7,0.0,0.0,9.0,IND
DA Sharpe,1959-1959,3,6.0,0.0,134.0,56.0,22.33,0.0,1.0,0.0,PAK
KS Bagabena,2019-2024,45,25.0,11.0,133.0,23.0,9.5,0.0,0.0,4.0,GHA
Rahel Khan,2021-2021,7,7.0,0.0,133.0,37.0,19.0,0.0,0.0,1.0,SWE
NM Salonen,2024-2025,15,14.0,2.0,133.0,36.0,11.08,0.0,0.0,2.0,FIN
KJ Ferrary,2021-2024,9,7.0,3.0,132.0,35.0,33.0,0.0,0.0,0.0,GIBR
C Hinze,2024-2026,32,16.0,6.0,132.0,23.0,13.2,0.0,0.0,3.0,JPN
D Keulder,2003-2003,6,6.0,0.0,132.0,52.0,22.0,0.0,1.0,1.0,NAM
MJ McClenaghan,2012-2018,77,22.0,14.0,132.0,34.0,16.5,0.0,0.0,2.0,NZ
Junaid Mehmood,2021-2026,14,12.0,1.0,132.0,30.0,12.0,0.0,0.0,2.0,NOR
K Mirpuri,2023-2025,27,15.0,12.0,132.0,34.0,44.0,0.0,0.0,0.0,GIBR
Shaof Hassan,2023-2024,12,10.0,2.0,132.0,36.0,16.5,0.0,0.0,1.0,MDV
E Wainwright,1893-1898,5,9.0,0.0,132.0,49.0,14.66,0.0,0.0,0.0,ENG
OJ Webster,2020-2024,6,6.0,0.0,132.0,48.0,22.0,0.0,0.0,0.0,IOM
EL Bartlett,1928-1931,5,8.0,1.0,131.0,84.0,18.71,0.0,1.0,1.0,WI
RD King,1998-2005,69,50.0,22.0,131.0,12.0,4.67,0.0,0.0,12.0,WI
Muhammad Shahdad,2025-2025,3,3.0,0.0,131.0,96.0,43.66,0.0,1.0,0.0,UAE
Noor Ahmad,2022-2026,39,19.0,5.0,131.0,26.0,9.35,0.0,0.0,2.0,AFG
TRO Payne,1984-1987,8,5.0,0.0,131.0,60.0,26.2,0.0,1.0,0.0,WI
PJR Steyn,1995-1995,4,7.0,0.0,131.0,46.0,18.71,0.0,0.0,0.0,SA
Tashi Phuntsho,2023-2026,19,16.0,4.0,131.0,24.0,10.91,0.0,0.0,1.0,BHU
L Tuckett,1947-1949,9,14.0,3.0,131.0,40.0,11.9,0.0,0.0,3.0,SA
J Vira,2019-2024,21,19.0,4.0,131.0,23.0,8.73,0.0,0.0,2.0,VAN
J Albin,2021-2022,25,16.0,8.0,130.0,19.0,16.25,0.0,0.0,0.0,BUL
Azam Khan,1996-1998,7,6.0,0.0,130.0,72.0,21.66,0.0,1.0,0.0,PAK
JA Duffy,2020-2026,71,24.0,14.0,130.0,36.0,13.0,0.0,0.0,2.0,NZ
V Hirlal,2024-2026,14,13.0,1.0,130.0,26.0,10.83,0.0,0.0,1.0,SUR
Mohammed Qasim,2016-2017,8,8.0,1.0,130.0,41.0,18.57,0.0,0.0,0.0,UAE
Muhammad Saleem,2019-2024,11,11.0,0.0,130.0,52.0,11.81,0.0,1.0,0.0,BRA
MN Nawaz,1998-2002,4,5.0,2.0,130.0,78.0,43.33,0.0,1.0,0.0,SL
D Nikolov,2019-2025,33,23.0,2.0,130.0,42.0,6.19,0.0,0.0,5.0,BUL
Sajid Ali,1984-1997,13,12.0,0.0,130.0,28.0,10.83,0.0,0.0,0.0,PAK
P Thongsa,2022-2026,23,20.0,8.0,130.0,20.0,10.83,0.0,0.0,1.0,THA
Akhil Arjunan,2023-2025,16,12.0,2.0,129.0,24.0,12.9,0.0,0.0,2.0,FIN
MFI Assuncao,2024-2026,20,16.0,0.0,129.0,29.0,8.06,0.0,0.0,3.0,BRA
AJ Ayannaike,2019-2021,20,19.0,0.0,129.0,33.0,6.78,0.0,0.0,5.0,NGA
RO Butcher,1980-1981,6,8.0,0.0,129.0,52.0,16.12,0.0,1.0,1.0,ENG
Hon.FSG Calthorpe,1930-1930,4,7.0,0.0,129.0,49.0,18.42,0.0,0.0,1.0,ENG
CV Gadkari,1953-1955,6,10.0,4.0,129.0,50.0,21.5,0.0,1.0,2.0,IND
H Gimblett,1936-1939,3,5.0,1.0,129.0,67.0,32.25,0.0,1.0,0.0,ENG
AW Hawkins-Kay,2019-2023,17,14.0,5.0,129.0,27.0,14.33,0.0,0.0,1.0,JER
DR Hooper,2019-2023,24,14.0,6.0,129.0,19.0,16.12,0.0,0.0,1.0,GUE
Kim Daeyeon,2022-2025,17,17.0,1.0,129.0,29.0,8.06,0.0,0.0,3.0,SKOR
JR Mason,1897-1898,5,10.0,0.0,129.0,32.0,12.9,0.0,0.0,1.0,ENG
G Singhdeo,2024-2025,9,8.0,1.0,129.0,55.0,18.42,0.0,1.0,1.0,CRC
DA Stirling,1984-1986,12,14.0,4.0,129.0,26.0,12.9,0.0,0.0,0.0,NZ
RW Tolchard,1977-1979,5,7.0,2.0,129.0,67.0,25.8,0.0,1.0,1.0,ENG
IJ Ward,2001-2001,5,9.0,1.0,129.0,39.0,16.12,0.0,0.0,1.0,ENG
Ameel Mauroof,2019-2024,30,22.0,10.0,128.0,19.0,10.66,0.0,0.0,2.0,MDV
HR Bromley-Davenport,1896-1899,4,6.0,0.0,128.0,84.0,21.33,0.0,1.0,1.0,ENG
J Byrappa,2025-2026,12,11.0,2.0,128.0,43.0,14.22,0.0,0.0,0.0,MEX
K Jethi,2008-2008,8,8.0,2.0,128.0,46.0,21.33,0.0,0.0,1.0,CAN
RB Kerr,1985-1985,6,8.0,1.0,128.0,87.0,18.28,0.0,1.0,1.0,AUS
S Loday,2022-2024,16,13.0,3.0,128.0,22.0,12.8,0.0,0.0,1.0,BHU
D Padikkal,2021-2024,4,5.0,0.0,128.0,65.0,25.6,0.0,1.0,1.0,IND
N Salekar,2024-2025,12,12.0,1.0,128.0,33.0,11.63,0.0,0.0,1.0,THA
K Sathish,2025-2025,8,8.0,0.0,128.0,26.0,16.0,0.0,0.0,0.0,SGP
D Smith,1935-1935,2,4.0,0.0,128.0,57.0,32.0,0.0,1.0,1.0,ENG
PM Walker,1960-1960,3,4.0,0.0,128.0,52.0,32.0,0.0,1.0,0.0,ENG
Ayaz Dadabhai,2025-2025,10,10.0,2.0,127.0,21.0,15.87,0.0,0.0,0.0,Zamb
Dhiman Ghosh,2008-2008,15,13.0,3.0,127.0,30.0,12.7,0.0,0.0,3.0,BAN
TE Jesty,1983-1983,10,10.0,4.0,127.0,52.0,21.16,0.0,1.0,2.0,ENG
A Kadowaki Fleming,2024-2024,3,3.0,1.0,127.0,65.0,63.5,0.0,1.0,0.0,JPN
FJ Klaassen,2018-2026,61,32.0,13.0,127.0,13.0,6.68,0.0,0.0,7.0,NED
SB O'Connor,1997-2001,57,40.0,15.0,127.0,20.0,5.08,0.0,0.0,7.0,NZ
TJG Pringle,2022-2025,26,19.0,2.0,127.0,35.0,7.47,0.0,0.0,4.0,NED
NA Saini,2019-2021,21,11.0,7.0,127.0,45.0,31.75,0.0,0.0,0.0,IND
AJ Staal,2019-2021,14,12.0,4.0,127.0,28.0,15.87,0.0,0.0,4.0,NED
Umair Tariq,2021-2026,49,16.0,4.0,127.0,32.0,10.58,0.0,0.0,1.0,AUT
AS Wassan,1990-1991,13,11.0,3.0,127.0,53.0,15.87,0.0,1.0,2.0,IND
GG Alta,2022-2025,12,12.0,0.0,126.0,28.0,10.5,0.0,0.0,0.0,TKY
ES Atkinson,1958-1959,8,9.0,1.0,126.0,37.0,15.75,0.0,0.0,3.0,WI
CPL Connolly,2024-2026,20,13.0,3.0,126.0,61.0,12.6,0.0,1.0,4.0,AUS
Dawood Ahmadzai,2021-2026,36,21.0,9.0,126.0,23.0,10.5,0.0,0.0,2.0,Fran
LV Garrick,2001-2001,4,5.0,0.0,126.0,76.0,25.2,0.0,1.0,1.0,WI
NE Haig,1921-1930,5,9.0,0.0,126.0,47.0,14.0,0.0,0.0,2.0,ENG
JT Hearne,1892-1899,12,18.0,4.0,126.0,40.0,9.0,0.0,0.0,3.0,ENG
E Jones,1894-1902,19,26.0,1.0,126.0,20.0,5.04,0.0,0.0,5.0,AUS
OP Stone,2018-2024,16,17.0,4.0,126.0,20.0,9.69,0.0,0.0,3.0,ENG
H Venkataram,2025-2025,14,12.0,9.0,126.0,27.0,42.0,0.0,0.0,0.0,SGP
Bilal Hassun,2021-2024,46,18.0,8.0,125.0,20.0,12.5,0.0,0.0,3.0,UGA
JB Commins,1994-1995,3,6.0,1.0,125.0,45.0,25.0,0.0,0.0,1.0,SA
E Duff,2024-2025,15,14.0,0.0,125.0,31.0,8.92,0.0,0.0,3.0,BHM
Habib Ahmadzai,2019-2022,10,10.0,2.0,125.0,39.0,15.62,0.0,0.0,1.0,AUT
Ismat Alam,2025-2025,2,4.0,0.0,125.0,101.0,31.25,1.0,0.0,1.0,AFG
Junaid Siddiqui,2011-2024,33,18.0,6.0,125.0,25.0,10.41,0.0,0.0,2.0,CAN
Marshall Ayub,2013-2014,3,6.0,0.0,125.0,41.0,20.83,0.0,0.0,0.0,BAN
WFE Marx,1921-1921,3,6.0,0.0,125.0,36.0,20.83,0.0,0.0,1.0,SA
Muhammad Naeem,2019-2020,7,6.0,2.0,125.0,42.0,31.25,0.0,0.0,1.0,KSA
JN Snape,2001-2007,11,8.0,3.0,125.0,38.0,25.0,0.0,0.0,0.0,ENG
C Sudarsanan,2023-2025,29,18.0,6.0,125.0,23.0,10.41,0.0,0.0,0.0,MLT
Syed Rasel,2005-2010,66,42.0,16.0,125.0,19.0,4.8,0.0,0.0,7.0,BAN
PJ van Biljon,2020-2021,10,8.0,2.0,125.0,42.0,20.83,0.0,0.0,0.0,SA
CW Wright,1896-1896,3,4.0,0.0,125.0,71.0,31.25,0.0,1.0,0.0,ENG
ML Cummins,2014-2019,25,25.0,8.0,124.0,24.0,7.29,0.0,0.0,6.0,WI
BJ Dwarshuis,2022-2026,21,14.0,3.0,124.0,33.0,11.27,0.0,0.0,1.0,AUS
R Fox,2022-2024,12,12.0,5.0,124.0,24.0,17.71,0.0,0.0,1.0,BHM
PB Gouge,2023-2025,9,6.0,1.0,124.0,52.0,24.8,0.0,1.0,1.0,JER
AE Isesele,2022-2025,19,18.0,5.0,124.0,44.0,9.53,0.0,0.0,1.0,NGA
EB Knowles,2019-2021,14,13.0,3.0,124.0,23.0,12.4,0.0,0.0,1.0,CZK-R
PD McGlashan,2006-2010,15,11.0,2.0,124.0,56.0,13.77,0.0,1.0,0.0,NZ
Mohammed Asghar,2019-2019,4,4.0,0.0,124.0,45.0,31.0,0.0,0.0,0.0,KUW
JA Samarasekera,1994-1996,7,6.0,2.0,124.0,47.0,31.0,0.0,0.0,0.0,UAE
WN Slack,1986-1986,5,8.0,0.0,124.0,52.0,15.5,0.0,1.0,2.0,ENG
GE Vivian,1965-1973,6,7.0,0.0,124.0,43.0,17.71,0.0,0.0,1.0,NZ
LR Williams,1996-2001,15,13.0,2.0,124.0,41.0,11.27,0.0,0.0,2.0,WI
N Zimonjic,2021-2025,31,19.0,2.0,124.0,19.0,7.29,0.0,0.0,5.0,SRB
L Bonner,2024-2024,7,7.0,1.0,123.0,70.0,20.5,0.0,1.0,1.0,Blz
HA Chohan,2021-2024,32,20.0,7.0,123.0,26.0,9.46,0.0,0.0,2.0,TAN
RJ Crisp,1935-1936,9,13.0,1.0,123.0,35.0,10.25,0.0,0.0,5.0,SA
IB Cromb,1931-1932,5,8.0,2.0,123.0,51.0,20.5,0.0,1.0,1.0,NZ
S Jamil,2019-2025,16,14.0,4.0,123.0,30.0,12.3,0.0,0.0,3.0,BEL
D Klein,2020-2023,23,17.0,5.0,123.0,31.0,10.25,0.0,0.0,3.0,GER
Mohammad Kamran,2022-2025,22,12.0,3.0,123.0,52.0,13.66,0.0,1.0,0.0,ESP
Mujeeb-ur-Rehman,2024-2026,24,13.0,3.0,123.0,28.0,12.3,0.0,0.0,0.0,QAT
Naveed Ahmed,2019-2025,40,18.0,9.0,123.0,21.0,13.66,0.0,0.0,3.0,CZK-R
GA Paterson,1983-1987,10,10.0,0.0,123.0,27.0,12.3,0.0,0.0,1.0,ZIM
Pervez Sajjad,1964-1973,19,20.0,11.0,123.0,24.0,13.66,0.0,0.0,2.0,PAK
MJ Scotland,2025-2025,7,7.0,3.0,123.0,57.0,30.75,0.0,1.0,1.0,BER
AG Weligamage,2021-2025,16,13.0,4.0,123.0,45.0,13.66,0.0,0.0,0.0,HUN
Zuhaib Zubair,2024-2025,22,15.0,4.0,123.0,31.0,11.18,0.0,0.0,1.0,UAE
DL Brangman,2019-2025,36,17.0,9.0,122.0,32.0,15.25,0.0,0.0,4.0,BER
BF Calitz,2025-2026,9,9.0,2.0,122.0,26.0,17.42,0.0,0.0,0.0,IRE
CRM Douglas,2008-2008,2,2.0,0.0,122.0,69.0,61.0,0.0,2.0,0.0,BER
Faraaz Mehti Abbas,2025-2025,7,7.0,0.0,122.0,57.0,17.42,0.0,1.0,1.0,FIN
AB Fudadin,2012-2012,3,5.0,1.0,122.0,55.0,30.5,0.0,1.0,0.0,WI
C Kyewuta,2021-2025,44,21.0,12.0,122.0,24.0,13.55,0.0,0.0,1.0,UGA
T Murphy,2023-2025,7,10.0,1.0,122.0,41.0,13.55,0.0,0.0,3.0,AUS
Umair Sharif,2023-2023,8,7.0,2.0,122.0,44.0,24.4,0.0,0.0,0.0,KSA
Vineet Shah,2025-2025,11,9.0,2.0,122.0,39.0,17.42,0.0,0.0,0.0,INA
J Cutinho,2019-2026,7,7.0,0.0,121.0,46.0,17.28,0.0,0.0,0.0,CRC
RR David,2008-2010,8,7.0,0.0,121.0,48.0,17.28,0.0,0.0,0.0,CAN
JG Dewes,1948-1950,5,10.0,0.0,121.0,67.0,12.1,0.0,1.0,1.0,ENG
SK Gupta,1996-2001,10,10.0,1.0,121.0,41.0,13.44,0.0,0.0,3.0,KENYA
PA Horne,1987-1990,8,11.0,0.0,121.0,27.0,11.0,0.0,0.0,3.0,NZ
M Koli,2022-2025,32,12.0,5.0,121.0,33.0,17.28,0.0,0.0,2.0,ROM
NC McGarrell,1998-2001,21,16.0,4.0,121.0,33.0,10.08,0.0,0.0,3.0,WI
W Maximo,2024-2026,14,12.0,0.0,121.0,25.0,10.08,0.0,0.0,0.0,BRA
VM Nyauchi,2020-2025,23,23.0,7.0,121.0,26.0,7.56,0.0,0.0,5.0,ZIM
R Parag,2024-2024,10,7.0,0.0,121.0,34.0,17.28,0.0,0.0,0.0,IND
TW Wall,1929-1934,18,24.0,5.0,121.0,20.0,6.36,0.0,0.0,5.0,AUS
JW Wilson,1993-2005,7,7.0,1.0,121.0,44.0,20.16,0.0,0.0,1.0,NZ
GJAF Aponso,1996-1996,5,4.0,0.0,120.0,58.0,30.0,0.0,1.0,0.0,NED
CE Cuffy,1994-2002,56,45.0,17.0,120.0,17.0,4.28,0.0,0.0,11.0,WI
BJ Jacobs,2025-2026,9,7.0,1.0,120.0,44.0,20.0,0.0,0.0,1.0,NZ
J Jagroo,2021-2022,11,11.0,0.0,120.0,34.0,10.9,0.0,0.0,2.0,BHM
M Kadyan,2021-2022,12,11.0,3.0,120.0,50.0,15.0,0.0,1.0,2.0,BUL
Mohammad Abbas,2017-2025,30,40.0,19.0,120.0,29.0,5.71,0.0,0.0,6.0,PAK
Waqar Khan,2022-2025,15,13.0,2.0,120.0,31.0,10.9,0.0,0.0,2.0,SVN
Danyal Raja,2023-2025,21,13.0,3.0,119.0,19.0,11.9,0.0,0.0,0.0,BUL
CR Foggo,2008-2008,7,7.0,0.0,119.0,60.0,17.0,0.0,1.0,1.0,BER
TGJ Gruijters,2010-2013,13,9.0,4.0,119.0,32.0,23.8,0.0,0.0,0.0,NED
AV Lalcheta,2015-2019,19,12.0,2.0,119.0,20.0,11.9,0.0,0.0,0.0,OMA
CJ Langford,2020-2025,19,12.0,3.0,119.0,24.0,13.22,0.0,0.0,0.0,IOM
T Martin,2023-2024,6,6.0,0.0,119.0,35.0,19.83,0.0,0.0,0.0,LUX
Mujibur Ali,2025-2026,8,8.0,1.0,119.0,43.0,17.0,0.0,0.0,1.0,OMA
K Piet,2022-2026,42,26.0,11.0,119.0,22.0,7.93,0.0,0.0,4.0,BOT
TS Roland-Jones,2017-2017,5,7.0,3.0,119.0,37.0,29.75,0.0,0.0,0.0,ENG
Shahid Mahboob,1982-1989,11,6.0,1.0,119.0,77.0,23.8,0.0,1.0,1.0,PAK
B Tuyizere,2021-2023,13,11.0,2.0,119.0,40.0,13.22,0.0,0.0,1.0,RWN
M Abdulla,2019-2021,10,7.0,2.0,118.0,42.0,23.6,0.0,0.0,0.0,MWI
Garret Banner,2019-2024,15,11.0,3.0,118.0,32.0,14.75,0.0,0.0,4.0,Blz
S Mahmood,2019-2025,38,18.0,9.0,118.0,49.0,13.11,0.0,0.0,1.0,ENG
A Manousis,2019-2022,11,11.0,2.0,118.0,27.0,13.11,0.0,0.0,4.0,GRC
Marcelle Hanekom,2025-2025,9,9.0,1.0,118.0,33.0,14.75,0.0,0.0,2.0,CAM
AS Mehmi,2019-2024,15,13.0,1.0,118.0,29.0,9.83,0.0,0.0,1.0,GRC
SNJ O'Keefe,2010-2017,16,18.0,4.0,118.0,25.0,8.42,0.0,0.0,2.0,AUS
H Satheedevi,2024-2025,8,8.0,1.0,118.0,43.0,16.85,0.0,0.0,0.0,CRT
Shamsudheen Purat,2019-2020,6,5.0,1.0,118.0,88.0,29.5,0.0,1.0,2.0,KSA
